participant_id,group,block,outcome,value
P011,Scaffold,early,executability,6.500000
P011,Scaffold,early,overall_precision,6.500000
P011,Scaffold,early,reconstructable,1.000000
P011,Scaffold,middle,interpretability,6.375000
P011,Scaffold,middle,spatial_specificity,6.500000
P011,Scaffold,middle,temporal_action_specificity,3.875000
P011,Scaffold,middle,executability,6.000000
P011,Scaffold,middle,overall_precision,6.000000
P011,Scaffold,middle,reconstructable,1.000000
P011,Scaffold,transfer,interpretability,6.250000
P011,Scaffold,transfer,spatial_specificity,6.250000
P011,Scaffold,transfer,temporal_action_specificity,5.875000
P011,Scaffold,transfer,executability,6.250000
P011,Scaffold,transfer,overall_precision,6.250000
P011,Scaffold,transfer,reconstructable,1.000000
P012,Control,early,interpretability,7.000000
P012,Control,early,spatial_specificity,7.000000
P012,Control,early,temporal_action_specificity,4.625000
P012,Control,early,executability,6.750000
P012,Control,early,overall_precision,6.750000
P012,Control,early,reconstructable,1.000000
P012,Control,middle,interpretability,6.500000
P012,Control,middle,spatial_specificity,6.625000
P012,Control,middle,temporal_action_specificity,5.500000
P012,Control,middle,executability,6.375000
P012,Control,middle,overall_precision,6.500000
P012,Control,middle,reconstructable,1.000000
P012,Control,transfer,interpretability,6.750000
P012,Control,transfer,spatial_specificity,7.000000
P012,Control,transfer,temporal_action_specificity,5.750000
P012,Control,transfer,executability,6.625000
P012,Control,transfer,overall_precision,6.625000
P012,Control,transfer,reconstructable,1.000000
P013,Scaffold,early,interpretability,3.125000
P013,Scaffold,early,spatial_specificity,2.000000
P013,Scaffold,early,temporal_action_specificity,3.375000
P013,Scaffold,early,executability,2.625000
P013,Scaffold,early,overall_precision,3.000000
P013,Scaffold,early,reconstructable,0.000000
P013,Scaffold,middle,interpretability,4.500000
P013,Scaffold,middle,spatial_specificity,4.000000
P013,Scaffold,middle,temporal_action_specificity,3.875000
P013,Scaffold,middle,executability,4.375000
P013,Scaffold,middle,overall_precision,4.250000
P013,Scaffold,middle,reconstructable,0.500000
P013,Scaffold,transfer,interpretability,2.500000
P013,Scaffold,transfer,spatial_specificity,2.000000
P013,Scaffold,transfer,temporal_action_specificity,2.500000
P013,Scaffold,transfer,executability,2.125000
P013,Scaffold,transfer,overall_precision,2.375000
P013,Scaffold,transfer,reconstructable,0.000000
P014,Scaffold,early,interpretability,4.625000
P014,Scaffold,early,spatial_specificity,3.500000
P014,Scaffold,early,temporal_action_specificity,5.125000
P014,Scaffold,early,executability,4.250000
P014,Scaffold,early,overall_precision,4.125000
P014,Scaffold,early,reconstructable,0.750000
P014,Scaffold,middle,interpretability,3.625000
P014,Scaffold,middle,spatial_specificity,2.125000
P014,Scaffold,middle,temporal_action_specificity,3.500000
P014,Scaffold,middle,executability,3.125000
P014,Scaffold,middle,overall_precision,3.125000
P014,Scaffold,middle,reconstructable,0.500000
P014,Scaffold,transfer,interpretability,5.250000
P014,Scaffold,transfer,spatial_specificity,3.625000
P014,Scaffold,transfer,temporal_action_specificity,5.625000
P014,Scaffold,transfer,executability,5.000000
P014,Scaffold,transfer,overall_precision,5.000000
P014,Scaffold,transfer,reconstructable,1.000000
P015,Control,early,interpretability,5.500000
P015,Control,early,spatial_specificity,4.125000
P015,Control,early,temporal_action_specificity,5.375000
P015,Control,early,executability,4.750000
P015,Control,early,overall_precision,5.000000
P015,Control,early,reconstructable,1.000000
P015,Control,middle,interpretability,5.875000
P015,Control,middle,spatial_specificity,5.125000
P015,Control,middle,temporal_action_specificity,5.500000
P015,Control,middle,executability,5.750000
P015,Control,middle,overall_precision,5.750000
P015,Control,middle,reconstructable,1.000000
P015,Control,transfer,interpretability,5.625000
P015,Control,transfer,spatial_specificity,3.750000
P015,Control,transfer,temporal_action_specificity,5.375000
P015,Control,transfer,executability,5.250000
P015,Control,transfer,overall_precision,5.250000
P015,Control,transfer,reconstructable,1.000000
P016,Scaffold,early,interpretability,6.000000
P016,Scaffold,early,spatial_specificity,5.375000
P016,Scaffold,early,temporal_action_specificity,3.625000
P016,Scaffold,early,executability,5.750000
P016,Scaffold,early,overall_precision,5.625000
P016,Scaffold,early,reconstructable,1.000000
P016,Scaffold,middle,interpretability,5.750000
P016,Scaffold,middle,spatial_specificity,5.000000
P016,Scaffold,middle,temporal_action_specificity,4.250000
P016,Scaffold,middle,executability,5.375000
P016,Scaffold,middle,overall_precision,5.250000
P016,Scaffold,middle,reconstructable,1.000000
P016,Scaffold,transfer,interpretability,3.625000
P016,Scaffold,transfer,spatial_specificity,3.125000
P016,Scaffold,transfer,temporal_action_specificity,2.625000
P016,Scaffold,transfer,executability,3.500000
P016,Scaffold,transfer,overall_precision,3.375000
P016,Scaffold,transfer,reconstructable,0.500000
P017,Scaffold,early,interpretability,5.250000
P017,Scaffold,early,spatial_specificity,3.625000
P017,Scaffold,early,temporal_action_specificity,5.750000
P017,Scaffold,early,executability,4.500000
P017,Scaffold,early,overall_precision,4.625000
P017,Scaffold,early,reconstructable,0.875000
P017,Scaffold,middle,interpretability,6.250000
P017,Scaffold,middle,spatial_specificity,7.000000
P017,Scaffold,middle,temporal_action_specificity,3.875000
P017,Scaffold,middle,executability,6.125000
P017,Scaffold,middle,overall_precision,6.125000
P017,Scaffold,middle,reconstructable,1.000000
P017,Scaffold,transfer,interpretability,4.250000
P017,Scaffold,transfer,spatial_specificity,2.750000
P017,Scaffold,transfer,temporal_action_specificity,4.625000
P017,Scaffold,transfer,executability,3.875000
P017,Scaffold,transfer,overall_precision,3.875000
P017,Scaffold,transfer,reconstructable,0.500000
P018,Scaffold,early,interpretability,4.500000
P018,Scaffold,early,spatial_specificity,3.875000
P018,Scaffold,early,temporal_action_specificity,2.125000
P018,Scaffold,early,executability,4.125000
P018,Scaffold,early,overall_precision,4.000000
P018,Scaffold,early,reconstructable,0.500000
P018,Scaffold,middle,interpretability,6.875000
P018,Scaffold,middle,spatial_specificity,6.250000
P018,Scaffold,middle,temporal_action_specificity,4.375000
P018,Scaffold,middle,executability,6.750000
P018,Scaffold,middle,overall_precision,6.375000
P018,Scaffold,middle,reconstructable,1.000000
P018,Scaffold,transfer,interpretability,6.750000
P018,Scaffold,transfer,spatial_specificity,6.000000
P018,Scaffold,transfer,temporal_action_specificity,4.250000
P018,Scaffold,transfer,executability,6.500000
P018,Scaffold,transfer,overall_precision,6.250000
P018,Scaffold,transfer,reconstructable,1.000000
P019,Scaffold,early,interpretability,6.500000
P019,Scaffold,early,spatial_specificity,5.750000
P019,Scaffold,early,temporal_action_specificity,6.375000
P019,Scaffold,early,executability,6.250000
P019,Scaffold,early,overall_precision,6.125000
P019,Scaffold,early,reconstructable,1.000000
P019,Scaffold,middle,interpretability,5.625000
P019,Scaffold,middle,spatial_specificity,4.500000
P019,Scaffold,middle,temporal_action_specificity,4.250000
P019,Scaffold,middle,executability,5.125000
P019,Scaffold,middle,overall_precision,5.250000
P019,Scaffold,middle,reconstructable,1.000000
P019,Scaffold,transfer,interpretability,6.500000
P019,Scaffold,transfer,spatial_specificity,6.000000
P019,Scaffold,transfer,temporal_action_specificity,6.250000
P019,Scaffold,transfer,executability,6.250000
P019,Scaffold,transfer,overall_precision,6.250000
P019,Scaffold,transfer,reconstructable,1.000000
P020,Scaffold,early,interpretability,3.625000
P020,Scaffold,early,spatial_specificity,2.375000
P020,Scaffold,early,temporal_action_specificity,4.000000
P020,Scaffold,early,executability,3.250000
P020,Scaffold,early,overall_precision,3.250000
P020,Scaffold,early,reconstructable,0.500000
P020,Scaffold,middle,interpretability,4.500000
P020,Scaffold,middle,spatial_specificity,3.000000
P020,Scaffold,middle,temporal_action_specificity,4.625000
P020,Scaffold,middle,executability,4.125000
P020,Scaffold,middle,overall_precision,4.125000
P020,Scaffold,middle,reconstructable,0.625000
P020,Scaffold,transfer,interpretability,4.625000
P020,Scaffold,transfer,spatial_specificity,3.500000
P020,Scaffold,transfer,temporal_action_specificity,5.000000
P020,Scaffold,transfer,executability,4.625000
P020,Scaffold,transfer,overall_precision,4.375000
P020,Scaffold,transfer,reconstructable,0.875000
P021,Control,early,interpretability,4.875000
P021,Control,early,spatial_specificity,4.625000
P021,Control,early,temporal_action_specificity,5.625000
P021,Control,early,executability,4.250000
P021,Control,early,overall_precision,4.250000
P021,Control,early,reconstructable,0.750000
P021,Control,middle,interpretability,6.375000
P021,Control,middle,spatial_specificity,5.500000
P021,Control,middle,temporal_action_specificity,6.500000
P021,Control,middle,executability,6.000000
P021,Control,middle,overall_precision,6.125000
P021,Control,middle,reconstructable,1.000000
P021,Control,transfer,interpretability,5.875000
P021,Control,transfer,spatial_specificity,6.500000
P021,Control,transfer,temporal_action_specificity,2.125000
P021,Control,transfer,executability,5.625000
P021,Control,transfer,overall_precision,5.500000
P021,Control,transfer,reconstructable,1.000000
P022,Control,early,interpretability,5.625000
P022,Control,early,spatial_specificity,4.000000
P022,Control,early,temporal_action_specificity,6.125000
P022,Control,early,executability,5.500000
P022,Control,early,overall_precision,5.500000
P022,Control,early,reconstructable,1.000000
P022,Control,middle,interpretability,6.500000
P022,Control,middle,spatial_specificity,5.000000
P022,Control,middle,temporal_action_specificity,6.250000
P022,Control,middle,executability,6.500000
P022,Control,middle,overall_precision,6.250000
P022,Control,middle,reconstructable,1.000000
P022,Control,transfer,interpretability,6.375000
P022,Control,transfer,spatial_specificity,5.750000
P022,Control,transfer,temporal_action_specificity,6.000000
P022,Control,transfer,executability,6.375000
P022,Control,transfer,overall_precision,6.375000
P022,Control,transfer,reconstructable,1.000000
P023,Scaffold,early,interpretability,6.125000
P023,Scaffold,early,spatial_specificity,5.625000
P023,Scaffold,early,temporal_action_specificity,6.500000
P023,Scaffold,early,executability,5.750000
P023,Scaffold,early,overall_precision,5.875000
P023,Scaffold,early,reconstructable,1.000000
P023,Scaffold,middle,interpretability,5.375000
P023,Scaffold,middle,spatial_specificity,5.625000
P023,Scaffold,middle,temporal_action_specificity,4.250000
P023,Scaffold,middle,executability,4.875000
P023,Scaffold,middle,overall_precision,5.125000
P023,Scaffold,middle,reconstructable,0.875000
P023,Scaffold,transfer,interpretability,6.875000
P023,Scaffold,transfer,spatial_specificity,6.000000
P023,Scaffold,transfer,temporal_action_specificity,6.875000
P023,Scaffold,transfer,executability,6.375000
P023,Scaffold,transfer,overall_precision,6.375000
P023,Scaffold,transfer,reconstructable,1.000000
P024,Scaffold,early,interpretability,6.000000
P024,Scaffold,early,spatial_specificity,6.250000
P024,Scaffold,early,temporal_action_specificity,5.625000
P024,Scaffold,early,executability,5.875000
P024,Scaffold,early,overall_precision,5.875000
P024,Scaffold,early,reconstructable,1.000000
P024,Scaffold,middle,interpretability,7.000000
P024,Scaffold,middle,spatial_specificity,6.500000
P024,Scaffold,middle,temporal_action_specificity,7.000000
P024,Scaffold,middle,executability,6.750000
P024,Scaffold,middle,overall_precision,6.750000
P024,Scaffold,middle,reconstructable,1.000000
P024,Scaffold,transfer,interpretability,6.500000
P024,Scaffold,transfer,spatial_specificity,5.875000
P024,Scaffold,transfer,temporal_action_specificity,6.375000
P024,Scaffold,transfer,executability,6.250000
P024,Scaffold,transfer,overall_precision,6.250000
P024,Scaffold,transfer,reconstructable,1.000000
P025,Control,early,interpretability,6.500000
P025,Control,early,spatial_specificity,6.250000
P025,Control,early,temporal_action_specificity,6.500000
P025,Control,early,executability,6.500000
P025,Control,early,overall_precision,6.500000
P025,Control,early,reconstructable,1.000000
P025,Control,middle,interpretability,5.750000
P025,Control,middle,spatial_specificity,5.250000
P025,Control,middle,temporal_action_specificity,5.750000
P025,Control,middle,executability,5.500000
P025,Control,middle,overall_precision,5.625000
P025,Control,middle,reconstructable,1.000000
P025,Control,transfer,interpretability,6.000000
P025,Control,transfer,spatial_specificity,5.875000
P025,Control,transfer,temporal_action_specificity,4.750000
P025,Control,transfer,executability,5.875000
P025,Control,transfer,overall_precision,5.750000
P025,Control,transfer,reconstructable,1.000000
