expert_id,expert_slug,item_id,participant_id,task_id,stage,block,image_id,dimension,score
expert_01,xinxiangyang,I017,P002,T3_transfer_E03,T3,transfer,E03,spatial,0
expert_01,xinxiangyang,I017,P002,T3_transfer_E03,T3,transfer,E03,object,0
expert_01,xinxiangyang,I018,P020,T1_early_D03,T1,early,D03,spatial,1
expert_01,xinxiangyang,I018,P020,T1_early_D03,T1,early,D03,camera,0
expert_01,xinxiangyang,I019,P016,T3_transfer_D06,T3,transfer,D06,spatial,0
expert_01,xinxiangyang,I019,P016,T3_transfer_D06,T3,transfer,D06,object,0
expert_01,xinxiangyang,I020,P005,T1_early_D03,T1,early,D03,spatial,1
expert_01,xinxiangyang,I020,P005,T1_early_D03,T1,early,D03,camera,1
expert_01,xinxiangyang,I021,P015,T1_middle_D05,T1,middle,D05,spatial,0
expert_01,xinxiangyang,I021,P015,T1_middle_D05,T1,middle,D05,relation,0
expert_01,xinxiangyang,I022,P005,T1_middle_E03,T1,middle,E03,spatial,1
expert_01,xinxiangyang,I022,P005,T1_middle_E03,T1,middle,E03,object,0
expert_01,xinxiangyang,I023,P011,T3_transfer_A05,T3,transfer,A05,camera,0
expert_01,xinxiangyang,I023,P011,T3_transfer_A05,T3,transfer,A05,relation,2
expert_01,xinxiangyang,I024,P002,T1_middle_C04,T1,middle,C04,spatial,0
expert_01,xinxiangyang,I024,P002,T1_middle_C04,T1,middle,C04,relation,0
expert_01,xinxiangyang,I025,P018,T3_transfer_C01,T3,transfer,C01,spatial,1
expert_01,xinxiangyang,I025,P018,T3_transfer_C01,T3,transfer,C01,relation,0
expert_01,xinxiangyang,I025,P018,T3_transfer_C01,T3,transfer,C01,camera,0
expert_01,xinxiangyang,I026,P018,T2_middle_A05,T2,middle,A05,camera,0
expert_01,xinxiangyang,I026,P018,T2_middle_A05,T2,middle,A05,relation,0
expert_01,xinxiangyang,I027,P010,T3_transfer_D01,T3,transfer,D01,object,0
expert_01,xinxiangyang,I027,P010,T3_transfer_D01,T3,transfer,D01,spatial,0
expert_01,xinxiangyang,I028,P014,T3_transfer_E03,T3,transfer,E03,spatial,1
expert_01,xinxiangyang,I028,P014,T3_transfer_E03,T3,transfer,E03,object,0
expert_01,xinxiangyang,I029,P001,T3_transfer_D05,T3,transfer,D05,spatial,2
expert_01,xinxiangyang,I029,P001,T3_transfer_D05,T3,transfer,D05,relation,2
expert_01,xinxiangyang,I030,P009,T1_early_C02,T1,early,C02,spatial,1
expert_01,xinxiangyang,I030,P009,T1_early_C02,T1,early,C02,relation,1
expert_01,xinxiangyang,I031,P020,T2_middle_A05,T2,middle,A05,camera,0
expert_01,xinxiangyang,I031,P020,T2_middle_A05,T2,middle,A05,relation,0
expert_01,xinxiangyang,I032,P007,T3_transfer_E05,T3,transfer,E05,spatial,0
expert_01,xinxiangyang,I032,P007,T3_transfer_E05,T3,transfer,E05,camera,0
expert_01,xinxiangyang,I033,P009,T2_middle_A05,T2,middle,A05,camera,0
expert_01,xinxiangyang,I033,P009,T2_middle_A05,T2,middle,A05,relation,2
expert_01,xinxiangyang,I034,P016,T2_middle_E03,T2,middle,E03,spatial,1
expert_01,xinxiangyang,I034,P016,T2_middle_E03,T2,middle,E03,object,0
expert_01,xinxiangyang,I035,P015,T3_transfer_D03,T3,transfer,D03,spatial,0
expert_01,xinxiangyang,I035,P015,T3_transfer_D03,T3,transfer,D03,camera,0
expert_01,xinxiangyang,I036,P017,T2_middle_C03,T2,middle,C03,spatial,3
expert_01,xinxiangyang,I036,P017,T2_middle_C03,T2,middle,C03,relation,3
expert_01,xinxiangyang,I037,P020,T1_early_D02,T1,early,D02,object,0
expert_01,xinxiangyang,I037,P020,T1_early_D02,T1,early,D02,spatial,0
expert_01,xinxiangyang,I038,P010,T2_middle_E01,T2,middle,E01,spatial,2
expert_01,xinxiangyang,I038,P010,T2_middle_E01,T2,middle,E01,object,2
expert_01,xinxiangyang,I039,P018,T1_early_A02,T1,early,A02,camera,1
expert_01,xinxiangyang,I039,P018,T1_early_A02,T1,early,A02,spatial,0
expert_01,xinxiangyang,I040,P006,T3_transfer_D05,T3,transfer,D05,spatial,1
expert_01,xinxiangyang,I040,P006,T3_transfer_D05,T3,transfer,D05,relation,1
expert_01,xinxiangyang,I041,P007,T1_early_D02,T1,early,D02,object,1
expert_01,xinxiangyang,I041,P007,T1_early_D02,T1,early,D02,spatial,1
expert_01,xinxiangyang,I042,P009,T3_transfer_D06,T3,transfer,D06,spatial,0
expert_01,xinxiangyang,I042,P009,T3_transfer_D06,T3,transfer,D06,object,0
expert_01,xinxiangyang,I043,P007,T1_middle_A04,T1,middle,A04,camera,0
expert_01,xinxiangyang,I043,P007,T1_middle_A04,T1,middle,A04,spatial,0
expert_01,xinxiangyang,I044,P014,T2_middle_D06,T2,middle,D06,spatial,0
expert_01,xinxiangyang,I044,P014,T2_middle_D06,T2,middle,D06,object,0
expert_01,xinxiangyang,I045,P005,T1_early_E02,T1,early,E02,spatial,1
expert_01,xinxiangyang,I045,P005,T1_early_E02,T1,early,E02,camera,0
expert_01,xinxiangyang,I046,P013,T2_middle_C03,T2,middle,C03,spatial,0
expert_01,xinxiangyang,I046,P013,T2_middle_C03,T2,middle,C03,relation,1
expert_01,xinxiangyang,I047,P018,T1_early_C03,T1,early,C03,spatial,0
expert_01,xinxiangyang,I047,P018,T1_early_C03,T1,early,C03,relation,0
expert_01,xinxiangyang,I048,P008,T1_early_E04,T1,early,E04,spatial,2
expert_01,xinxiangyang,I048,P008,T1_early_E04,T1,early,E04,camera,0
expert_01,xinxiangyang,I049,P011,T1_early_E04,T1,early,E04,spatial,2
expert_01,xinxiangyang,I049,P011,T1_early_E04,T1,early,E04,camera,0
expert_01,xinxiangyang,I050,P010,T1_early_E04,T1,early,E04,spatial,0
expert_01,xinxiangyang,I050,P010,T1_early_E04,T1,early,E04,camera,0
expert_01,xinxiangyang,I051,P015,T3_transfer_C02,T3,transfer,C02,spatial,0
expert_01,xinxiangyang,I051,P015,T3_transfer_C02,T3,transfer,C02,relation,0
expert_01,xinxiangyang,I052,P007,T1_middle_E01,T1,middle,E01,spatial,0
expert_01,xinxiangyang,I052,P007,T1_middle_E01,T1,middle,E01,object,0
expert_01,xinxiangyang,I053,P013,T1_early_A05,T1,early,A05,camera,0
expert_01,xinxiangyang,I053,P013,T1_early_A05,T1,early,A05,relation,0
expert_01,xinxiangyang,I054,P008,T1_early_D04,T1,early,D04,object,0
expert_01,xinxiangyang,I054,P008,T1_early_D04,T1,early,D04,spatial,0
expert_01,xinxiangyang,I055,P013,T3_transfer_E03,T3,transfer,E03,spatial,0
expert_01,xinxiangyang,I055,P013,T3_transfer_E03,T3,transfer,E03,object,0
expert_01,xinxiangyang,I056,P006,T1_early_C03,T1,early,C03,spatial,0
expert_01,xinxiangyang,I056,P006,T1_early_C03,T1,early,C03,relation,0
expert_01,xinxiangyang,I057,P018,T2_middle_D03,T2,middle,D03,spatial,2
expert_01,xinxiangyang,I057,P018,T2_middle_D03,T2,middle,D03,camera,1
expert_01,xinxiangyang,I058,P020,T3_transfer_E02,T3,transfer,E02,spatial,1
expert_01,xinxiangyang,I058,P020,T3_transfer_E02,T3,transfer,E02,camera,0
expert_01,xinxiangyang,I059,P014,T1_early_C04,T1,early,C04,spatial,0
expert_01,xinxiangyang,I059,P014,T1_early_C04,T1,early,C04,relation,0
expert_01,xinxiangyang,I060,P009,T3_transfer_E01,T3,transfer,E01,spatial,0
expert_01,xinxiangyang,I060,P009,T3_transfer_E01,T3,transfer,E01,object,0
expert_01,xinxiangyang,I061,P017,T3_transfer_D06,T3,transfer,D06,spatial,0
expert_01,xinxiangyang,I061,P017,T3_transfer_D06,T3,transfer,D06,object,0
expert_01,xinxiangyang,I062,P001,T3_transfer_C01,T3,transfer,C01,spatial,1
expert_01,xinxiangyang,I062,P001,T3_transfer_C01,T3,transfer,C01,relation,0
expert_01,xinxiangyang,I062,P001,T3_transfer_C01,T3,transfer,C01,camera,0
expert_01,xinxiangyang,I063,P005,T3_transfer_C02,T3,transfer,C02,spatial,1
expert_01,xinxiangyang,I063,P005,T3_transfer_C02,T3,transfer,C02,relation,1
expert_01,xinxiangyang,I064,P004,T1_early_E01,T1,early,E01,spatial,0
expert_01,xinxiangyang,I064,P004,T1_early_E01,T1,early,E01,object,0
expert_01,xinxiangyang,I065,P015,T1_early_E05,T1,early,E05,spatial,0
expert_01,xinxiangyang,I065,P015,T1_early_E05,T1,early,E05,camera,0
expert_01,xinxiangyang,I066,P016,T1_early_C04,T1,early,C04,spatial,0
expert_01,xinxiangyang,I066,P016,T1_early_C04,T1,early,C04,relation,0
expert_01,xinxiangyang,I067,P006,T1_middle_E01,T1,middle,E01,spatial,1
expert_01,xinxiangyang,I067,P006,T1_middle_E01,T1,middle,E01,object,1
expert_01,xinxiangyang,I068,P009,T1_early_D01,T1,early,D01,object,0
expert_01,xinxiangyang,I068,P009,T1_early_D01,T1,early,D01,spatial,0
expert_01,xinxiangyang,I069,P002,T1_early_E05,T1,early,E05,spatial,0
expert_01,xinxiangyang,I069,P002,T1_early_E05,T1,early,E05,camera,0
expert_01,xinxiangyang,I070,P019,T1_early_A04,T1,early,A04,camera,0
expert_01,xinxiangyang,I070,P019,T1_early_A04,T1,early,A04,spatial,1
expert_01,xinxiangyang,I071,P007,T3_transfer_A05,T3,transfer,A05,camera,0
expert_01,xinxiangyang,I071,P007,T3_transfer_A05,T3,transfer,A05,relation,0
expert_01,xinxiangyang,I072,P016,T1_early_D02,T1,early,D02,object,1
expert_01,xinxiangyang,I072,P016,T1_early_D02,T1,early,D02,spatial,0
expert_01,xinxiangyang,I073,P010,T2_middle_D06,T2,middle,D06,spatial,1
expert_01,xinxiangyang,I073,P010,T2_middle_D06,T2,middle,D06,object,0
expert_01,xinxiangyang,I074,P004,T2_middle_D02,T2,middle,D02,object,1
expert_01,xinxiangyang,I074,P004,T2_middle_D02,T2,middle,D02,spatial,0
expert_01,xinxiangyang,I075,P019,T2_middle_D05,T2,middle,D05,spatial,0
expert_01,xinxiangyang,I075,P019,T2_middle_D05,T2,middle,D05,relation,0
expert_01,xinxiangyang,I076,P011,T3_transfer_D01,T3,transfer,D01,object,0
expert_01,xinxiangyang,I076,P011,T3_transfer_D01,T3,transfer,D01,spatial,0
expert_01,xinxiangyang,I077,P011,T1_early_C03,T1,early,C03,spatial,0
expert_01,xinxiangyang,I077,P011,T1_early_C03,T1,early,C03,relation,0
expert_01,xinxiangyang,I078,P013,T3_transfer_D04,T3,transfer,D04,object,0
expert_01,xinxiangyang,I078,P013,T3_transfer_D04,T3,transfer,D04,spatial,0
expert_01,xinxiangyang,I079,P011,T2_middle_D02,T2,middle,D02,object,0
expert_01,xinxiangyang,I079,P011,T2_middle_D02,T2,middle,D02,spatial,0
expert_01,xinxiangyang,I080,P005,T1_middle_A01,T1,middle,A01,camera,0
expert_01,xinxiangyang,I080,P005,T1_middle_A01,T1,middle,A01,spatial,2
expert_01,xinxiangyang,I081,P010,T1_early_C04,T1,early,C04,spatial,2
expert_01,xinxiangyang,I081,P010,T1_early_C04,T1,early,C04,relation,1
expert_01,xinxiangyang,I082,P008,T1_middle_E02,T1,middle,E02,spatial,1
expert_01,xinxiangyang,I082,P008,T1_middle_E02,T1,middle,E02,camera,0
expert_01,xinxiangyang,I083,P005,T3_transfer_A05,T3,transfer,A05,camera,0
expert_01,xinxiangyang,I083,P005,T3_transfer_A05,T3,transfer,A05,relation,1
expert_01,xinxiangyang,I084,P003,T2_middle_D01,T2,middle,D01,object,0
expert_01,xinxiangyang,I084,P003,T2_middle_D01,T2,middle,D01,spatial,0
expert_01,xinxiangyang,I085,P006,T3_transfer_D06,T3,transfer,D06,spatial,1
expert_01,xinxiangyang,I085,P006,T3_transfer_D06,T3,transfer,D06,object,0
expert_01,xinxiangyang,I086,P017,T3_transfer_C04,T3,transfer,C04,spatial,0
expert_01,xinxiangyang,I086,P017,T3_transfer_C04,T3,transfer,C04,relation,1
expert_01,xinxiangyang,I087,P004,T1_early_C03,T1,early,C03,spatial,0
expert_01,xinxiangyang,I087,P004,T1_early_C03,T1,early,C03,relation,2
expert_01,xinxiangyang,I088,P014,T2_middle_D03,T2,middle,D03,spatial,0
expert_01,xinxiangyang,I088,P014,T2_middle_D03,T2,middle,D03,camera,0
expert_01,xinxiangyang,I089,P019,T1_early_D04,T1,early,D04,object,0
expert_01,xinxiangyang,I089,P019,T1_early_D04,T1,early,D04,spatial,0
expert_01,xinxiangyang,I090,P011,T2_middle_C04,T2,middle,C04,spatial,1
expert_01,xinxiangyang,I090,P011,T2_middle_C04,T2,middle,C04,relation,2
expert_01,xinxiangyang,I091,P018,T3_transfer_E02,T3,transfer,E02,spatial,1
expert_01,xinxiangyang,I091,P018,T3_transfer_E02,T3,transfer,E02,camera,2
expert_01,xinxiangyang,I092,P013,T1_early_C04,T1,early,C04,spatial,0
expert_01,xinxiangyang,I092,P013,T1_early_C04,T1,early,C04,relation,0
expert_01,xinxiangyang,I093,P019,T3_transfer_C03,T3,transfer,C03,spatial,0
expert_01,xinxiangyang,I093,P019,T3_transfer_C03,T3,transfer,C03,relation,1
expert_01,xinxiangyang,I094,P013,T2_middle_D05,T2,middle,D05,spatial,0
expert_01,xinxiangyang,I094,P013,T2_middle_D05,T2,middle,D05,relation,0
expert_01,xinxiangyang,I095,P015,T1_middle_A01,T1,middle,A01,camera,0
expert_01,xinxiangyang,I095,P015,T1_middle_A01,T1,middle,A01,spatial,0
expert_01,xinxiangyang,I096,P016,T3_transfer_C02,T3,transfer,C02,spatial,1
expert_01,xinxiangyang,I096,P016,T3_transfer_C02,T3,transfer,C02,relation,1
expert_01,xinxiangyang,I097,P009,T2_middle_C04,T2,middle,C04,spatial,1
expert_01,xinxiangyang,I097,P009,T2_middle_C04,T2,middle,C04,relation,1
expert_01,xinxiangyang,I098,P003,T3_transfer_C03,T3,transfer,C03,spatial,0
expert_01,xinxiangyang,I098,P003,T3_transfer_C03,T3,transfer,C03,relation,0
expert_01,xinxiangyang,I099,P019,T3_transfer_C01,T3,transfer,C01,spatial,0
expert_01,xinxiangyang,I099,P019,T3_transfer_C01,T3,transfer,C01,relation,0
expert_01,xinxiangyang,I099,P019,T3_transfer_C01,T3,transfer,C01,camera,0
expert_01,xinxiangyang,I100,P004,T3_transfer_A04,T3,transfer,A04,camera,1
expert_01,xinxiangyang,I100,P004,T3_transfer_A04,T3,transfer,A04,spatial,1
expert_01,xinxiangyang,I101,P004,T3_transfer_A01,T3,transfer,A01,camera,0
expert_01,xinxiangyang,I101,P004,T3_transfer_A01,T3,transfer,A01,spatial,1
expert_01,xinxiangyang,I102,P002,T3_transfer_A01,T3,transfer,A01,camera,0
expert_01,xinxiangyang,I102,P002,T3_transfer_A01,T3,transfer,A01,spatial,1
expert_01,xinxiangyang,I103,P001,T1_early_D03,T1,early,D03,spatial,1
expert_01,xinxiangyang,I103,P001,T1_early_D03,T1,early,D03,camera,0
expert_01,xinxiangyang,I104,P020,T2_middle_E01,T2,middle,E01,spatial,0
expert_01,xinxiangyang,I104,P020,T2_middle_E01,T2,middle,E01,object,0
expert_01,xinxiangyang,I105,P014,T1_early_C02,T1,early,C02,spatial,0
expert_01,xinxiangyang,I105,P014,T1_early_C02,T1,early,C02,relation,0
expert_01,xinxiangyang,I106,P008,T1_middle_A05,T1,middle,A05,camera,0
expert_01,xinxiangyang,I106,P008,T1_middle_A05,T1,middle,A05,relation,1
expert_01,xinxiangyang,I107,P017,T1_early_E04,T1,early,E04,spatial,2
expert_01,xinxiangyang,I107,P017,T1_early_E04,T1,early,E04,camera,0
expert_01,xinxiangyang,I108,P008,T3_transfer_C03,T3,transfer,C03,spatial,0
expert_01,xinxiangyang,I108,P008,T3_transfer_C03,T3,transfer,C03,relation,1
expert_01,xinxiangyang,I109,P016,T2_middle_A04,T2,middle,A04,camera,0
expert_01,xinxiangyang,I109,P016,T2_middle_A04,T2,middle,A04,spatial,1
expert_01,xinxiangyang,I110,P004,T2_middle_D05,T2,middle,D05,spatial,0
expert_01,xinxiangyang,I110,P004,T2_middle_D05,T2,middle,D05,relation,0
expert_01,xinxiangyang,I111,P002,T1_middle_D04,T1,middle,D04,object,0
expert_01,xinxiangyang,I111,P002,T1_middle_D04,T1,middle,D04,spatial,0
expert_01,xinxiangyang,I112,P006,T1_middle_A02,T1,middle,A02,camera,1
expert_01,xinxiangyang,I112,P006,T1_middle_A02,T1,middle,A02,spatial,1
expert_01,xinxiangyang,I113,P003,T2_middle_C01,T2,middle,C01,spatial,1
expert_01,xinxiangyang,I113,P003,T2_middle_C01,T2,middle,C01,relation,2
expert_01,xinxiangyang,I113,P003,T2_middle_C01,T2,middle,C01,camera,0
expert_01,xinxiangyang,I114,P020,T3_transfer_C04,T3,transfer,C04,spatial,0
expert_01,xinxiangyang,I114,P020,T3_transfer_C04,T3,transfer,C04,relation,0
expert_02,louyongqi,I001,P014,T3_transfer_E02,T3,transfer,E02,spatial,0
expert_02,louyongqi,I001,P014,T3_transfer_E02,T3,transfer,E02,camera,0
expert_02,louyongqi,I002,P006,T1_early_C01,T1,early,C01,spatial,0
expert_02,louyongqi,I002,P006,T1_early_C01,T1,early,C01,relation,0
expert_02,louyongqi,I002,P006,T1_early_C01,T1,early,C01,camera,0
expert_02,louyongqi,I003,P002,T1_early_C02,T1,early,C02,spatial,0
expert_02,louyongqi,I003,P002,T1_early_C02,T1,early,C02,relation,0
expert_02,louyongqi,I004,P003,T1_early_D02,T1,early,D02,object,0
expert_02,louyongqi,I004,P003,T1_early_D02,T1,early,D02,spatial,0
expert_02,louyongqi,I005,P010,T3_transfer_A02,T3,transfer,A02,camera,0
expert_02,louyongqi,I005,P010,T3_transfer_A02,T3,transfer,A02,spatial,0
expert_02,louyongqi,I006,P001,T1_early_E04,T1,early,E04,spatial,0
expert_02,louyongqi,I006,P001,T1_early_E04,T1,early,E04,camera,0
expert_02,louyongqi,I007,P001,T2_middle_A04,T2,middle,A04,camera,0
expert_02,louyongqi,I007,P001,T2_middle_A04,T2,middle,A04,spatial,0
expert_02,louyongqi,I008,P007,T1_early_D01,T1,early,D01,object,0
expert_02,louyongqi,I008,P007,T1_early_D01,T1,early,D01,spatial,0
expert_02,louyongqi,I009,P019,T2_middle_A02,T2,middle,A02,camera,0
expert_02,louyongqi,I009,P019,T2_middle_A02,T2,middle,A02,spatial,0
expert_02,louyongqi,I010,P008,T3_transfer_C04,T3,transfer,C04,spatial,0
expert_02,louyongqi,I010,P008,T3_transfer_C04,T3,transfer,C04,relation,0
expert_02,louyongqi,I011,P003,T1_early_E02,T1,early,E02,spatial,1
expert_02,louyongqi,I011,P003,T1_early_E02,T1,early,E02,camera,0
expert_02,louyongqi,I012,P017,T1_early_A03,T1,early,A03,camera,0
expert_02,louyongqi,I012,P017,T1_early_A03,T1,early,A03,spatial,0
expert_02,louyongqi,I013,P015,T1_early_C04,T1,early,C04,spatial,0
expert_02,louyongqi,I013,P015,T1_early_C04,T1,early,C04,relation,0
expert_02,louyongqi,I014,P003,T3_transfer_E05,T3,transfer,E05,spatial,0
expert_02,louyongqi,I014,P003,T3_transfer_E05,T3,transfer,E05,camera,0
expert_02,louyongqi,I015,P017,T2_middle_D03,T2,middle,D03,spatial,3
expert_02,louyongqi,I015,P017,T2_middle_D03,T2,middle,D03,camera,3
expert_02,louyongqi,I016,P001,T2_middle_E05,T2,middle,E05,spatial,0
expert_02,louyongqi,I016,P001,T2_middle_E05,T2,middle,E05,camera,0
expert_02,louyongqi,I017,P002,T3_transfer_E03,T3,transfer,E03,spatial,0
expert_02,louyongqi,I017,P002,T3_transfer_E03,T3,transfer,E03,object,0
expert_02,louyongqi,I018,P020,T1_early_D03,T1,early,D03,spatial,0
expert_02,louyongqi,I018,P020,T1_early_D03,T1,early,D03,camera,0
expert_02,louyongqi,I019,P016,T3_transfer_D06,T3,transfer,D06,spatial,0
expert_02,louyongqi,I019,P016,T3_transfer_D06,T3,transfer,D06,object,0
expert_02,louyongqi,I020,P005,T1_early_D03,T1,early,D03,spatial,1
expert_02,louyongqi,I020,P005,T1_early_D03,T1,early,D03,camera,0
expert_02,louyongqi,I021,P015,T1_middle_D05,T1,middle,D05,spatial,0
expert_02,louyongqi,I021,P015,T1_middle_D05,T1,middle,D05,relation,0
expert_02,louyongqi,I022,P005,T1_middle_E03,T1,middle,E03,spatial,1
expert_02,louyongqi,I022,P005,T1_middle_E03,T1,middle,E03,object,0
expert_02,louyongqi,I023,P011,T3_transfer_A05,T3,transfer,A05,camera,0
expert_02,louyongqi,I023,P011,T3_transfer_A05,T3,transfer,A05,relation,2
expert_02,louyongqi,I024,P002,T1_middle_C04,T1,middle,C04,spatial,0
expert_02,louyongqi,I024,P002,T1_middle_C04,T1,middle,C04,relation,1
expert_02,louyongqi,I025,P018,T3_transfer_C01,T3,transfer,C01,spatial,0
expert_02,louyongqi,I025,P018,T3_transfer_C01,T3,transfer,C01,relation,0
expert_02,louyongqi,I025,P018,T3_transfer_C01,T3,transfer,C01,camera,0
expert_02,louyongqi,I026,P018,T2_middle_A05,T2,middle,A05,camera,0
expert_02,louyongqi,I026,P018,T2_middle_A05,T2,middle,A05,relation,0
expert_02,louyongqi,I027,P010,T3_transfer_D01,T3,transfer,D01,object,0
expert_02,louyongqi,I027,P010,T3_transfer_D01,T3,transfer,D01,spatial,0
expert_02,louyongqi,I028,P014,T3_transfer_E03,T3,transfer,E03,spatial,0
expert_02,louyongqi,I028,P014,T3_transfer_E03,T3,transfer,E03,object,0
expert_02,louyongqi,I029,P001,T3_transfer_D05,T3,transfer,D05,spatial,1
expert_02,louyongqi,I029,P001,T3_transfer_D05,T3,transfer,D05,relation,2
expert_02,louyongqi,I030,P009,T1_early_C02,T1,early,C02,spatial,1
expert_02,louyongqi,I030,P009,T1_early_C02,T1,early,C02,relation,1
expert_02,louyongqi,I031,P020,T2_middle_A05,T2,middle,A05,camera,0
expert_02,louyongqi,I031,P020,T2_middle_A05,T2,middle,A05,relation,0
expert_02,louyongqi,I032,P007,T3_transfer_E05,T3,transfer,E05,spatial,0
expert_02,louyongqi,I032,P007,T3_transfer_E05,T3,transfer,E05,camera,0
expert_02,louyongqi,I033,P009,T2_middle_A05,T2,middle,A05,camera,1
expert_02,louyongqi,I033,P009,T2_middle_A05,T2,middle,A05,relation,2
expert_02,louyongqi,I034,P016,T2_middle_E03,T2,middle,E03,spatial,1
expert_02,louyongqi,I034,P016,T2_middle_E03,T2,middle,E03,object,0
expert_02,louyongqi,I035,P015,T3_transfer_D03,T3,transfer,D03,spatial,0
expert_02,louyongqi,I035,P015,T3_transfer_D03,T3,transfer,D03,camera,0
expert_02,louyongqi,I036,P017,T2_middle_C03,T2,middle,C03,spatial,3
expert_02,louyongqi,I036,P017,T2_middle_C03,T2,middle,C03,relation,3
expert_02,louyongqi,I037,P020,T1_early_D02,T1,early,D02,object,0
expert_02,louyongqi,I037,P020,T1_early_D02,T1,early,D02,spatial,0
expert_02,louyongqi,I038,P010,T2_middle_E01,T2,middle,E01,spatial,3
expert_02,louyongqi,I038,P010,T2_middle_E01,T2,middle,E01,object,3
expert_02,louyongqi,I039,P018,T1_early_A02,T1,early,A02,camera,0
expert_02,louyongqi,I039,P018,T1_early_A02,T1,early,A02,spatial,0
expert_02,louyongqi,I040,P006,T3_transfer_D05,T3,transfer,D05,spatial,1
expert_02,louyongqi,I040,P006,T3_transfer_D05,T3,transfer,D05,relation,2
expert_02,louyongqi,I041,P007,T1_early_D02,T1,early,D02,object,1
expert_02,louyongqi,I041,P007,T1_early_D02,T1,early,D02,spatial,0
expert_02,louyongqi,I042,P009,T3_transfer_D06,T3,transfer,D06,spatial,1
expert_02,louyongqi,I042,P009,T3_transfer_D06,T3,transfer,D06,object,1
expert_02,louyongqi,I043,P007,T1_middle_A04,T1,middle,A04,camera,0
expert_02,louyongqi,I043,P007,T1_middle_A04,T1,middle,A04,spatial,0
expert_02,louyongqi,I044,P014,T2_middle_D06,T2,middle,D06,spatial,0
expert_02,louyongqi,I044,P014,T2_middle_D06,T2,middle,D06,object,0
expert_02,louyongqi,I045,P005,T1_early_E02,T1,early,E02,spatial,1
expert_02,louyongqi,I045,P005,T1_early_E02,T1,early,E02,camera,0
expert_02,louyongqi,I046,P013,T2_middle_C03,T2,middle,C03,spatial,0
expert_02,louyongqi,I046,P013,T2_middle_C03,T2,middle,C03,relation,1
expert_02,louyongqi,I047,P018,T1_early_C03,T1,early,C03,spatial,0
expert_02,louyongqi,I047,P018,T1_early_C03,T1,early,C03,relation,0
expert_02,louyongqi,I048,P008,T1_early_E04,T1,early,E04,spatial,2
expert_02,louyongqi,I048,P008,T1_early_E04,T1,early,E04,camera,0
expert_02,louyongqi,I049,P011,T1_early_E04,T1,early,E04,spatial,2
expert_02,louyongqi,I049,P011,T1_early_E04,T1,early,E04,camera,0
