expert_id,item_id,participant_id,task_id,stage,block,image_id,interpretability,spatial_specificity,temporal_action_specificity,executability,overall_precision,reconstructable
expert_01,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,5,7,7,1
expert_01,I046,P007,T1_middle_A04,T1,middle,A04,3,1,3,2,3,0
expert_01,I047,P012,T1_early_D03,T1,early,D03,7,7,3,6,6,1
expert_01,I048,P005,T1_early_E02,T1,early,E02,6,6,7,6,6,1
expert_01,I049,P013,T3_transfer_E03,T3,transfer,E03,3,2,3,2,3,0
expert_01,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,4,2,3,0
expert_01,I051,P014,T3_transfer_E03,T3,transfer,E03,5,4,6,5,5,1
expert_01,I052,P016,T2_middle_A04,T2,middle,A04,6,4,6,5,5,1
expert_01,I053,P009,T2_middle_A05,T2,middle,A05,7,7,5,6,6,1
expert_01,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_01,I055,P015,T1_middle_D05,T1,middle,D05,6,4,5,5,5,1
expert_01,I056,P007,T1_middle_E01,T1,middle,E01,3,2,4,3,3,0
expert_01,I057,P014,T2_middle_D06,T2,middle,D06,5,3,6,4,4,1
expert_01,I058,P008,T1_early_D04,T1,early,D04,6,5,6,6,6,1
expert_01,I059,P018,T1_early_A02,T1,early,A02,7,5,4,6,6,1
expert_01,I060,P006,T1_early_C03,T1,early,C03,6,5,7,6,6,1
expert_01,I061,P012,T1_middle_C04,T1,middle,C04,7,7,6,6,7,1
expert_01,I062,P011,T1_early_E04,T1,early,E04,7,6,7,6,6,1
expert_01,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,4,1
expert_01,I064,P008,T1_early_E04,T1,early,E04,6,6,6,6,6,1
expert_01,I065,P002,T1_middle_C04,T1,middle,C04,7,6,6,6,6,1
expert_01,I066,P010,T3_transfer_A02,T3,transfer,A02,6,5,6,5,5,1
expert_01,I067,P004,T1_early_E01,T1,early,E01,7,6,3,6,6,1
expert_01,I068,P014,T3_transfer_E02,T3,transfer,E02,5,2,6,4,4,1
expert_01,I069,P015,T1_early_C04,T1,early,C04,6,5,6,5,6,1
expert_01,I070,P006,T1_middle_E01,T1,middle,E01,5,4,5,4,5,1
expert_01,I071,P009,T1_early_D01,T1,early,D01,6,5,5,6,6,1
expert_01,I072,P002,T1_early_E05,T1,early,E05,6,5,6,6,6,1
expert_01,I073,P018,T3_transfer_C01,T3,transfer,C01,6,6,4,6,6,1
expert_01,I074,P007,T3_transfer_A05,T3,transfer,A05,6,4,6,5,5,1
expert_01,I075,P017,T2_middle_C03,T2,middle,C03,7,7,5,6,6,1
expert_01,I076,P010,T2_middle_D06,T2,middle,D06,7,7,6,6,7,1
expert_01,I077,P004,T2_middle_D02,T2,middle,D02,7,7,4,6,6,1
expert_01,I078,P019,T1_early_D04,T1,early,D04,6,5,6,5,5,1
expert_01,I079,P011,T3_transfer_D01,T3,transfer,D01,6,6,6,6,6,1
expert_01,I080,P014,T1_early_C02,T1,early,C02,5,4,5,4,4,1
expert_01,I081,P011,T1_early_C03,T1,early,C03,7,5,7,6,6,1
expert_01,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_01,I083,P011,T2_middle_D02,T2,middle,D02,6,6,4,5,5,1
expert_01,I084,P005,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_01,I085,P010,T1_early_C04,T1,early,C04,6,6,6,6,6,1
expert_01,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,5,5,1
expert_01,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_01,I088,P003,T2_middle_D01,T2,middle,D01,5,2,5,4,4,1
expert_01,I089,P006,T3_transfer_D06,T3,transfer,D06,6,5,6,6,6,1
expert_01,I090,P017,T2_middle_D03,T2,middle,D03,6,7,4,6,6,1
expert_01,I091,P004,T1_early_C03,T1,early,C03,6,6,4,5,6,1
expert_01,I092,P013,T2_middle_D05,T2,middle,D05,3,3,2,3,3,0
expert_01,I093,P019,T1_early_A04,T1,early,A04,7,6,7,6,6,1
expert_01,I094,P011,T2_middle_C04,T2,middle,C04,7,6,4,6,6,1
expert_01,I095,P018,T3_transfer_E02,T3,transfer,E02,7,6,6,6,6,1
expert_01,I096,P012,T1_early_C02,T1,early,C02,7,7,7,6,7,1
expert_01,I097,P020,T1_early_D03,T1,early,D03,5,3,5,4,4,1
expert_01,I098,P012,T1_middle_D01,T1,middle,D01,7,6,6,7,7,1
expert_01,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,1,2,0
expert_01,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,6,5,5,1
expert_01,I101,P009,T2_middle_C04,T2,middle,C04,7,7,5,6,7,1
expert_01,I102,P003,T3_transfer_C03,T3,transfer,C03,4,2,4,3,4,0
expert_01,I103,P019,T2_middle_A02,T2,middle,A02,6,5,6,5,6,1
expert_01,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,6,6,6,1
expert_01,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,5,6,6,1
expert_01,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_01,I107,P001,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_01,I108,P018,T2_middle_A05,T2,middle,A05,7,5,4,6,6,1
expert_01,I109,P020,T2_middle_E01,T2,middle,E01,4,3,3,3,3,0
expert_01,I110,P013,T1_early_C04,T1,early,C04,3,2,3,2,3,0
expert_01,I111,P008,T1_middle_A05,T1,middle,A05,5,2,5,4,4,1
expert_01,I112,P016,T1_early_C04,T1,early,C04,5,3,4,4,4,1
expert_01,I113,P008,T3_transfer_C03,T3,transfer,C03,6,5,6,6,6,1
expert_01,I114,P015,T1_middle_A01,T1,middle,A01,6,5,6,6,6,1
expert_01,I115,P020,T3_transfer_E02,T3,transfer,E02,4,3,5,4,4,1
expert_01,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,2,3,0
expert_01,I117,P002,T1_middle_D04,T1,middle,D04,7,6,6,6,6,1
expert_01,I118,P006,T1_middle_A02,T1,middle,A02,6,6,5,6,6,1
expert_01,I119,P003,T2_middle_C01,T2,middle,C01,6,5,6,5,5,1
expert_01,I120,P019,T3_transfer_C01,T3,transfer,C01,6,6,6,6,6,1
expert_02,I001,P006,T1_early_C01,T1,early,C01,7,6,6,6,6,1
expert_02,I002,P013,T3_transfer_D04,T3,transfer,D04,3,2,3,2,2,0
expert_02,I003,P001,T2_middle_A04,T2,middle,A04,4,3,5,4,4,1
expert_02,I004,P002,T1_early_C02,T1,early,C02,4,3,5,4,4,1
expert_02,I005,P017,T1_early_A03,T1,early,A03,5,3,5,4,4,1
expert_02,I006,P005,T1_middle_E03,T1,middle,E03,6,6,6,6,6,1
expert_02,I007,P001,T1_early_E04,T1,early,E04,7,5,7,6,6,1
expert_02,I008,P003,T1_early_D02,T1,early,D02,5,5,5,5,5,1
expert_02,I009,P009,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_02,I010,P003,T3_transfer_E05,T3,transfer,E05,4,4,4,4,4,1
expert_02,I011,P010,T3_transfer_D01,T3,transfer,D01,6,6,6,6,6,1
expert_02,I012,P003,T1_early_E02,T1,early,E02,5,5,5,5,5,1
expert_02,I013,P019,T2_middle_D05,T2,middle,D05,6,4,3,5,5,1
expert_02,I014,P016,T3_transfer_C02,T3,transfer,C02,5,5,4,5,5,1
expert_02,I015,P009,T3_transfer_E01,T3,transfer,E01,6,7,2,6,6,1
expert_02,I016,P007,T3_transfer_E05,T3,transfer,E05,6,5,6,6,6,1
expert_02,I017,P001,T2_middle_E05,T2,middle,E05,7,6,6,7,7,1
expert_02,I018,P002,T3_transfer_E03,T3,transfer,E03,5,5,2,5,4,1
expert_02,I019,P016,T3_transfer_D06,T3,transfer,D06,2,1,1,2,1,0
expert_02,I020,P017,T1_early_E04,T1,early,E04,6,4,6,5,5,1
expert_02,I021,P008,T3_transfer_C04,T3,transfer,C04,5,5,5,5,5,1
expert_02,I022,P013,T2_middle_C03,T2,middle,C03,6,5,6,6,6,1
expert_02,I023,P007,T1_early_D01,T1,early,D01,4,3,5,4,4,1
expert_02,I024,P020,T2_middle_A05,T2,middle,A05,5,3,6,5,5,1
expert_02,I025,P014,T1_early_C04,T1,early,C04,4,3,5,4,4,1
expert_02,I026,P018,T2_middle_D03,T2,middle,D03,7,7,6,7,7,1
expert_02,I027,P005,T1_early_D03,T1,early,D03,6,6,5,6,6,1
expert_02,I028,P018,T1_early_C03,T1,early,C03,3,3,1,3,2,0
expert_02,I029,P005,T3_transfer_C02,T3,transfer,C02,6,5,6,6,6,1
expert_02,I030,P001,T3_transfer_C01,T3,transfer,C01,7,6,6,6,6,1
expert_02,I031,P001,T3_transfer_D05,T3,transfer,D05,7,7,6,7,7,1
expert_02,I032,P017,T3_transfer_C04,T3,transfer,C04,6,4,6,6,5,1
expert_02,I033,P016,T1_early_D02,T1,early,D02,7,7,3,7,7,1
expert_02,I034,P015,T1_early_E05,T1,early,E05,5,3,5,4,4,1
expert_02,I035,P013,T1_early_A05,T1,early,A05,3,2,3,3,3,0
expert_02,I036,P010,T2_middle_E01,T2,middle,E01,6,6,5,6,6,1
expert_02,I037,P015,T3_transfer_C02,T3,transfer,C02,5,4,5,5,5,1
expert_02,I038,P019,T3_transfer_C03,T3,transfer,C03,7,6,7,6,6,1
expert_02,I039,P012,T3_transfer_A05,T3,transfer,A05,6,7,5,6,6,1
expert_02,I040,P020,T1_early_D02,T1,early,D02,2,2,3,2,2,0
expert_02,I041,P016,T2_middle_E03,T2,middle,E03,6,6,2,6,5,1
expert_02,I042,P010,T1_early_E04,T1,early,E04,3,2,3,3,3,0
expert_02,I043,P006,T3_transfer_D05,T3,transfer,D05,6,6,6,6,6,1
expert_02,I044,P007,T1_early_D02,T1,early,D02,7,7,7,7,7,1
expert_02,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,4,7,7,1
expert_02,I046,P007,T1_middle_A04,T1,middle,A04,3,2,3,2,2,0
expert_02,I047,P012,T1_early_D03,T1,early,D03,7,7,2,7,6,1
expert_02,I048,P005,T1_early_E02,T1,early,E02,6,6,6,6,6,1
expert_02,I049,P013,T3_transfer_E03,T3,transfer,E03,2,2,2,2,2,0
expert_02,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,3,3,2,0
expert_02,I051,P014,T3_transfer_E03,T3,transfer,E03,5,4,5,5,5,1
expert_02,I052,P016,T2_middle_A04,T2,middle,A04,6,5,6,6,6,1
expert_02,I053,P009,T2_middle_A05,T2,middle,A05,6,7,5,6,6,1
expert_02,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_02,I055,P015,T1_middle_D05,T1,middle,D05,5,5,5,5,5,1
expert_02,I056,P007,T1_middle_E01,T1,middle,E01,4,3,5,4,4,1
expert_02,I057,P014,T2_middle_D06,T2,middle,D06,5,3,6,5,5,1
expert_02,I058,P008,T1_early_D04,T1,early,D04,7,6,6,7,6,1
expert_02,I059,P018,T1_early_A02,T1,early,A02,7,6,3,6,6,1
expert_02,I060,P006,T1_early_C03,T1,early,C03,6,5,6,5,5,1
expert_02,I061,P012,T1_middle_C04,T1,middle,C04,6,7,5,6,6,1
expert_02,I062,P011,T1_early_E04,T1,early,E04,7,7,6,7,7,1
expert_02,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,4,1
expert_02,I064,P008,T1_early_E04,T1,early,E04,6,6,6,6,6,1
expert_02,I065,P002,T1_middle_C04,T1,middle,C04,7,6,6,7,6,1
expert_02,I066,P010,T3_transfer_A02,T3,transfer,A02,6,5,6,6,5,1
expert_02,I067,P004,T1_early_E01,T1,early,E01,7,7,2,7,6,1
expert_02,I068,P014,T3_transfer_E02,T3,transfer,E02,5,3,5,4,4,1
expert_02,I069,P015,T1_early_C04,T1,early,C04,6,5,6,5,5,1
expert_02,I070,P006,T1_middle_E01,T1,middle,E01,5,4,4,4,4,1
expert_02,I071,P009,T1_early_D01,T1,early,D01,6,5,4,6,5,1
expert_02,I072,P002,T1_early_E05,T1,early,E05,6,5,6,6,6,1
expert_02,I073,P018,T3_transfer_C01,T3,transfer,C01,7,6,2,6,6,1
expert_02,I074,P007,T3_transfer_A05,T3,transfer,A05,6,4,6,6,5,1
expert_02,I075,P017,T2_middle_C03,T2,middle,C03,7,7,4,7,7,1
expert_02,I076,P010,T2_middle_D06,T2,middle,D06,7,7,6,7,7,1
expert_02,I077,P004,T2_middle_D02,T2,middle,D02,7,7,3,7,7,1
expert_02,I078,P019,T1_early_D04,T1,early,D04,6,5,5,6,5,1
expert_02,I079,P011,T3_transfer_D01,T3,transfer,D01,7,7,6,7,7,1
expert_02,I080,P014,T1_early_C02,T1,early,C02,4,4,4,4,4,1
expert_02,I081,P011,T1_early_C03,T1,early,C03,6,4,6,6,6,1
expert_02,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_02,I083,P011,T2_middle_D02,T2,middle,D02,6,6,4,5,5,1
expert_02,I084,P005,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_02,I085,P010,T1_early_C04,T1,early,C04,6,6,6,6,6,1
expert_02,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,6,5,1
expert_02,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,5,6,6,1
expert_02,I088,P003,T2_middle_D01,T2,middle,D01,4,3,5,4,4,1
expert_02,I089,P006,T3_transfer_D06,T3,transfer,D06,6,6,5,6,6,1
expert_02,I090,P017,T2_middle_D03,T2,middle,D03,6,7,3,6,6,1
expert_02,I091,P004,T1_early_C03,T1,early,C03,6,6,4,6,6,1
expert_02,I092,P013,T2_middle_D05,T2,middle,D05,3,3,2,3,2,0
expert_02,I093,P019,T1_early_A04,T1,early,A04,7,7,7,7,7,1
expert_02,I094,P011,T2_middle_C04,T2,middle,C04,7,7,4,7,7,1
expert_02,I095,P018,T3_transfer_E02,T3,transfer,E02,6,6,5,6,6,1
expert_02,I096,P012,T1_early_C02,T1,early,C02,7,7,7,7,7,1
expert_02,I097,P020,T1_early_D03,T1,early,D03,5,3,5,4,4,1
expert_02,I098,P012,T1_middle_D01,T1,middle,D01,7,7,6,7,7,1
expert_02,I099,P014,T2_middle_D03,T2,middle,D03,2,1,1,2,1,0
expert_02,I100,P015,T3_transfer_D03,T3,transfer,D03,6,4,5,5,5,1
expert_02,I101,P009,T2_middle_C04,T2,middle,C04,7,7,5,7,7,1
expert_02,I102,P003,T3_transfer_C03,T3,transfer,C03,3,2,4,3,3,0
expert_02,I103,P019,T2_middle_A02,T2,middle,A02,6,5,5,6,6,1
expert_02,I104,P004,T3_transfer_A04,T3,transfer,A04,7,7,5,7,7,1
expert_02,I105,P004,T3_transfer_A01,T3,transfer,A01,7,7,4,7,7,1
expert_02,I106,P002,T3_transfer_A01,T3,transfer,A01,6,5,6,6,6,1
expert_02,I107,P001,T1_early_D03,T1,early,D03,6,5,6,5,5,1
expert_02,I108,P018,T2_middle_A05,T2,middle,A05,6,6,2,6,5,1
expert_02,I109,P020,T2_middle_E01,T2,middle,E01,4,3,4,4,4,1
expert_02,I110,P013,T1_early_C04,T1,early,C04,3,2,3,3,3,0
expert_02,I111,P008,T1_middle_A05,T1,middle,A05,4,3,5,4,4,1
expert_02,I112,P016,T1_early_C04,T1,early,C04,5,4,4,5,4,1
expert_02,I113,P008,T3_transfer_C03,T3,transfer,C03,6,6,6,6,6,1
expert_02,I114,P015,T1_middle_A01,T1,middle,A01,6,6,6,6,6,1
expert_02,I115,P020,T3_transfer_E02,T3,transfer,E02,4,3,5,4,4,1
expert_02,I116,P004,T2_middle_D05,T2,middle,D05,3,3,1,3,2,0
expert_02,I117,P002,T1_middle_D04,T1,middle,D04,7,6,5,7,6,1
expert_02,I118,P006,T1_middle_A02,T1,middle,A02,6,6,5,6,6,1
expert_02,I119,P003,T2_middle_C01,T2,middle,C01,5,5,6,5,5,1
expert_02,I120,P019,T3_transfer_C01,T3,transfer,C01,6,6,6,6,6,1
expert_03,I001,P006,T1_early_C01,T1,early,C01,6,6,6,6,6,1
expert_03,I002,P013,T3_transfer_D04,T3,transfer,D04,2,2,2,2,2,0
expert_03,I003,P001,T2_middle_A04,T2,middle,A04,5,3,5,5,5,1
expert_03,I004,P002,T1_early_C02,T1,early,C02,3,3,4,3,3,0
expert_03,I005,P017,T1_early_A03,T1,early,A03,3,3,5,3,3,0
expert_03,I006,P005,T1_middle_E03,T1,middle,E03,6,5,6,6,6,1
expert_03,I007,P001,T1_early_E04,T1,early,E04,7,5,7,6,6,1
expert_03,I008,P003,T1_early_D02,T1,early,D02,5,5,5,5,5,1
expert_03,I009,P009,T1_early_C02,T1,early,C02,7,7,6,7,7,1
expert_03,I010,P003,T3_transfer_E05,T3,transfer,E05,5,4,5,5,5,1
expert_03,I011,P010,T3_transfer_D01,T3,transfer,D01,6,5,6,6,6,1
expert_03,I012,P003,T1_early_E02,T1,early,E02,5,5,5,5,5,1
expert_03,I013,P019,T2_middle_D05,T2,middle,D05,5,4,3,5,5,1
expert_03,I014,P016,T3_transfer_C02,T3,transfer,C02,5,4,4,5,5,1
expert_03,I015,P009,T3_transfer_E01,T3,transfer,E01,5,6,2,4,4,1
expert_03,I016,P007,T3_transfer_E05,T3,transfer,E05,7,4,6,6,6,1
expert_03,I017,P001,T2_middle_E05,T2,middle,E05,7,6,5,7,7,1
expert_03,I018,P002,T3_transfer_E03,T3,transfer,E03,6,4,3,6,5,1
expert_03,I019,P016,T3_transfer_D06,T3,transfer,D06,2,1,1,2,2,0
expert_03,I020,P017,T1_early_E04,T1,early,E04,6,4,6,5,5,1
expert_03,I021,P008,T3_transfer_C04,T3,transfer,C04,3,4,4,3,3,0
expert_03,I022,P013,T2_middle_C03,T2,middle,C03,6,5,6,6,6,1
expert_03,I023,P007,T1_early_D01,T1,early,D01,5,3,5,5,5,1
expert_03,I024,P020,T2_middle_A05,T2,middle,A05,5,3,5,5,5,1
expert_03,I025,P014,T1_early_C04,T1,early,C04,3,3,5,3,3,0
expert_03,I026,P018,T2_middle_D03,T2,middle,D03,7,6,6,7,7,1
expert_03,I027,P005,T1_early_D03,T1,early,D03,6,5,6,6,6,1
expert_03,I028,P018,T1_early_C03,T1,early,C03,2,2,1,2,2,0
expert_03,I029,P005,T3_transfer_C02,T3,transfer,C02,6,4,6,6,6,1
expert_03,I030,P001,T3_transfer_C01,T3,transfer,C01,7,5,6,6,6,1
expert_03,I031,P001,T3_transfer_D05,T3,transfer,D05,7,6,6,7,7,1
expert_03,I032,P017,T3_transfer_C04,T3,transfer,C04,5,3,5,5,5,1
expert_03,I033,P016,T1_early_D02,T1,early,D02,7,7,3,7,7,1
expert_03,I034,P015,T1_early_E05,T1,early,E05,5,3,5,5,5,1
expert_03,I035,P013,T1_early_A05,T1,early,A05,3,2,3,2,3,0
expert_03,I036,P010,T2_middle_E01,T2,middle,E01,6,5,5,6,6,1
expert_03,I037,P015,T3_transfer_C02,T3,transfer,C02,5,3,5,5,5,1
expert_03,I038,P019,T3_transfer_C03,T3,transfer,C03,6,6,6,6,6,1
expert_03,I039,P012,T3_transfer_A05,T3,transfer,A05,6,7,5,6,6,1
expert_03,I040,P020,T1_early_D02,T1,early,D02,2,2,3,2,2,0
expert_03,I041,P016,T2_middle_E03,T2,middle,E03,6,5,3,5,5,1
expert_03,I042,P010,T1_early_E04,T1,early,E04,4,3,4,4,4,1
expert_03,I043,P006,T3_transfer_D05,T3,transfer,D05,6,6,5,6,6,1
expert_03,I044,P007,T1_early_D02,T1,early,D02,6,6,6,6,6,1
expert_03,I045,P009,T3_transfer_D06,T3,transfer,D06,7,7,3,7,7,1
expert_03,I046,P007,T1_middle_A04,T1,middle,A04,3,2,3,2,2,0
expert_03,I047,P012,T1_early_D03,T1,early,D03,7,7,2,7,7,1
expert_03,I048,P005,T1_early_E02,T1,early,E02,6,5,6,6,6,1
expert_03,I049,P013,T3_transfer_E03,T3,transfer,E03,2,2,2,2,2,0
expert_03,I050,P017,T3_transfer_D06,T3,transfer,D06,3,2,4,2,3,0
expert_03,I051,P014,T3_transfer_E03,T3,transfer,E03,6,4,6,6,6,1
expert_03,I052,P016,T2_middle_A04,T2,middle,A04,6,4,6,6,6,1
expert_03,I053,P009,T2_middle_A05,T2,middle,A05,6,7,4,6,6,1
expert_03,I054,P011,T3_transfer_A05,T3,transfer,A05,6,6,6,6,6,1
expert_03,I055,P015,T1_middle_D05,T1,middle,D05,6,5,5,6,6,1
expert_03,I056,P007,T1_middle_E01,T1,middle,E01,4,3,5,3,3,0
expert_03,I057,P014,T2_middle_D06,T2,middle,D06,5,3,6,5,5,1
expert_03,I058,P008,T1_early_D04,T1,early,D04,7,5,6,7,7,1
expert_03,I059,P018,T1_early_A02,T1,early,A02,6,5,2,6,6,1
expert_03,I060,P006,T1_early_C03,T1,early,C03,6,5,6,6,6,1
expert_03,I061,P012,T1_middle_C04,T1,middle,C04,5,6,5,5,5,1
expert_03,I062,P011,T1_early_E04,T1,early,E04,7,6,6,7,7,1
expert_03,I063,P020,T3_transfer_C04,T3,transfer,C04,5,4,5,5,5,1
expert_03,I064,P008,T1_early_E04,T1,early,E04,6,5,6,6,6,1
expert_03,I065,P002,T1_middle_C04,T1,middle,C04,6,6,5,6,6,1
expert_03,I066,P010,T3_transfer_A02,T3,transfer,A02,6,4,6,6,6,1
expert_03,I067,P004,T1_early_E01,T1,early,E01,7,6,2,6,6,1
expert_03,I068,P014,T3_transfer_E02,T3,transfer,E02,5,3,5,5,5,1
expert_03,I069,P015,T1_early_C04,T1,early,C04,6,5,5,5,5,1
expert_03,I070,P006,T1_middle_E01,T1,middle,E01,5,4,4,4,4,1
expert_03,I071,P009,T1_early_D01,T1,early,D01,6,5,4,6,6,1
expert_03,I072,P002,T1_early_E05,T1,early,E05,6,4,6,6,6,1
expert_03,I073,P018,T3_transfer_C01,T3,transfer,C01,7,6,3,7,6,1
expert_03,I074,P007,T3_transfer_A05,T3,transfer,A05,6,3,6,6,6,1
expert_03,I075,P017,T2_middle_C03,T2,middle,C03,6,7,3,6,6,1
expert_03,I076,P010,T2_middle_D06,T2,middle,D06,7,7,6,7,7,1
expert_03,I077,P004,T2_middle_D02,T2,middle,D02,7,7,3,7,7,1
expert_03,I078,P019,T1_early_D04,T1,early,D04,6,5,6,6,6,1
expert_03,I079,P011,T3_transfer_D01,T3,transfer,D01,6,6,5,6,6,1
expert_03,I080,P014,T1_early_C02,T1,early,C02,5,4,5,5,5,1
expert_03,I081,P011,T1_early_C03,T1,early,C03,6,5,6,6,6,1
expert_03,I082,P012,T3_transfer_E04,T3,transfer,E04,7,7,6,7,7,1
expert_03,I083,P011,T2_middle_D02,T2,middle,D02,5,6,4,5,5,1
expert_03,I084,P005,T1_middle_A01,T1,middle,A01,6,5,6,6,6,1
expert_03,I085,P010,T1_early_C04,T1,early,C04,6,5,6,6,6,1
expert_03,I086,P008,T1_middle_E02,T1,middle,E02,6,5,6,6,6,1
expert_03,I087,P005,T3_transfer_A05,T3,transfer,A05,6,6,5,6,6,1
expert_03,I088,P003,T2_middle_D01,T2,middle,D01,5,3,5,5,5,1
expert_03,I089,P006,T3_transfer_D06,T3,transfer,D06,6,5,5,6,6,1
expert_03,I090,P017,T2_middle_D03,T2,middle,D03,5,7,3,5,5,1
expert_03,I091,P004,T1_early_C03,T1,early,C03,6,6,4,5,5,1
expert_03,I092,P013,T2_middle_D05,T2,middle,D05,2,2,1,2,2,0
expert_03,I093,P019,T1_early_A04,T1,early,A04,7,6,7,7,7,1
expert_03,I094,P011,T2_middle_C04,T2,middle,C04,7,7,3,7,7,1
expert_03,I095,P018,T3_transfer_E02,T3,transfer,E02,7,6,5,7,7,1
expert_03,I096,P012,T1_early_C02,T1,early,C02,7,7,6,7,7,1
expert_03,I097,P020,T1_early_D03,T1,early,D03,5,3,5,5,5,1
expert_03,I098,P012,T1_middle_D01,T1,middle,D01,7,6,5,7,7,1
